epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.581,0.94576,3.0324,0.92448,0.49254,0.61291,0.55062,0.39096,1.05409,1.6775,0.88034,0.000207838,0.000207838,0.000207838
2,259.699,0.93219,1.46145,0.94207,0.7201,0.58524,0.7064,0.47908,1.09602,1.15223,0.89098,0.000374971,0.000374971,0.000374971
3,354.708,0.92283,1.036,0.94683,0.60591,0.58096,0.66504,0.46022,1.05215,1.0597,0.88183,0.000500853,0.000500853,0.000500853
4,453.025,0.89507,0.79425,0.93402,0.64662,0.59902,0.68535,0.47349,1.02039,1.18843,0.88154,0.000439375,0.000439375,0.000439375
5,552.929,0.87437,0.66792,0.92789,0.6818,0.59946,0.70499,0.51622,1.01338,1.16473,0.87395,0.0003775,0.0003775,0.0003775
6,652.824,0.85467,0.59277,0.92073,0.59413,0.63261,0.71797,0.51105,1.0001,1.15115,0.87312,0.000315625,0.000315625,0.000315625
7,755.929,0.83718,0.5457,0.91178,0.67614,0.59845,0.71029,0.52005,0.97058,1.01178,0.86695,0.00025375,0.00025375,0.00025375
8,860.16,0.81367,0.50126,0.90623,0.57996,0.65655,0.64842,0.46863,0.99999,1.21365,0.86828,0.000191875,0.000191875,0.000191875
9,961.215,0.80097,0.47298,0.89727,0.604,0.61843,0.68227,0.50102,0.95479,1.2657,0.86508,0.00013,0.00013,0.00013
10,1061.03,0.78041,0.44702,0.89122,0.64496,0.62651,0.70595,0.51511,0.94986,1.01959,0.8639,6.8125e-05,6.8125e-05,6.8125e-05
